яблоко,10,15,2024-06-28
печенье,13,23,2024-06-10
слива,7,15,2024-06-23
груша,11,11,2024-06-01
слива,9,15,2024-06-26
конфета,2,22,2024-06-04
слива,1,15,2024-06-17
печенье,10,23,2024-06-20
конфета,5,22,2024-06-22
конфета,16,22,2024-06-15
печенье,5,23,2024-06-22
груша,3,11,2024-06-09
печенье,12,23,2024-06-12
печенье,12,23,2024-06-12
яблоко,9,15,2024-06-05
конфета,16,22,2024-06-18
груша,7,11,2024-06-24
конфета,8,22,2024-06-10
груша,6,11,2024-06-29
яблоко,13,15,2024-06-17
слива,9,15,2024-06-17
конфета,19,22,2024-06-10
конфета,3,22,2024-06-28
яблоко,4,15,2024-06-28
конфета,4,22,2024-06-01
яблоко,12,15,2024-06-13
слива,4,15,2024-06-10
яблоко,5,15,2024-06-11
слива,8,15,2024-06-06
яблоко,20,15,2024-06-28
конфета,4,22,2024-06-03
печенье,14,23,2024-06-27
печенье,15,23,2024-06-03
конфета,19,22,2024-06-22
яблоко,10,15,2024-06-29
слива,13,15,2024-06-26
печенье,19,23,2024-06-20
печенье,4,23,2024-06-24
груша,18,11,2024-06-22
слива,16,15,2024-06-13
конфета,14,22,2024-06-05
груша,16,11,2024-06-21
груша,2,11,2024-06-26
конфета,16,22,2024-06-21
яблоко,8,15,2024-06-04
яблоко,20,15,2024-06-18
яблоко,16,15,2024-06-27
слива,8,15,2024-06-21
слива,7,15,2024-06-10
груша,19,11,2024-06-21
яблоко,4,15,2024-06-24
конфета,12,22,2024-06-09
слива,10,15,2024-06-07
груша,10,11,2024-06-13
конфета,16,22,2024-06-06
яблоко,14,15,2024-06-11
печенье,18,23,2024-06-24
яблоко,10,15,2024-06-22
яблоко,2,15,2024-06-27
груша,9,11,2024-06-12
печенье,17,23,2024-06-13
конфета,9,22,2024-06-29
конфета,17,22,2024-06-18
печенье,12,23,2024-06-10
печенье,11,23,2024-06-05
яблоко,13,15,2024-06-13
печенье,1,23,2024-06-17
груша,17,11,2024-06-05
яблоко,12,15,2024-06-21
слива,2,15,2024-06-05
слива,13,15,2024-06-18
слива,12,15,2024-06-10
печенье,20,23,2024-06-20
слива,20,15,2024-06-22
конфета,3,22,2024-06-26
печенье,20,23,2024-06-10
яблоко,5,15,2024-06-19
яблоко,17,15,2024-06-02
конфета,15,22,2024-06-19
конфета,1,22,2024-06-23
груша,14,11,2024-06-24
конфета,4,22,2024-06-22
яблоко,18,15,2024-06-03
груша,11,11,2024-06-11
печенье,20,23,2024-06-25
слива,20,15,2024-06-06
печенье,15,23,2024-06-17
яблоко,19,15,2024-06-05
печенье,19,23,2024-06-03
слива,17,15,2024-06-23
яблоко,7,15,2024-06-28
слива,2,15,2024-06-14
слива,14,15,2024-06-11
груша,15,11,2024-06-07
груша,7,11,2024-06-14
груша,20,11,2024-06-24
груша,16,11,2024-06-01
яблоко,6,15,2024-06-22
слива,9,15,2024-06-22
яблоко,15,15,2024-06-02
печенье,19,23,2024-06-21
конфета,11,22,2024-06-25
конфета,6,22,2024-06-10
печенье,15,23,2024-06-24
печенье,7,23,2024-06-28
печенье,6,23,2024-06-03
конфета,8,22,2024-06-11
